Buffer size: 10
Score: 199.0;Steps: 36
Score: 671.0;Steps: 221.3
Score: 557.6;Steps: 75.8
Score: 932.8;Steps: 143.7
Score: 821.0;Steps: 108.2
Score: 680.7;Steps: 156.9
Score: 903.9;Steps: 121.2
Score: 795.1;Steps: 218.1
Score: 902.3;Steps: 147.8
Score: 768.5;Steps: 157.3
Score: 639.9;Steps: 87.0
Score: 688.3;Steps: 106.9
Score: 1001.4;Steps: 194.0
Score: 996.6;Steps: 130.6
Score: 1079.2;Steps: 171.0
Score: 896.7;Steps: 137.4
Score: 938.3;Steps: 134.8
Score: 915.3;Steps: 160.2
Score: 963.5;Steps: 132.8
Score: 1109.6;Steps: 164.9
Score: 983.9;Steps: 129.3
Score: 885.2;Steps: 112.4
Score: 787.3;Steps: 91.6
Score: 892.9;Steps: 129.7
Score: 925.2;Steps: 134.4
Score: 754.9;Steps: 93.4
Score: 676.1;Steps: 82.5
Score: 891.7;Steps: 123.8
Score: 652.8;Steps: 287.4
Score: 805.2;Steps: 111.1
Score: 664.5;Steps: 81.8
Score: 907.4;Steps: 110.2
Score: 1343.6;Steps: 172.4
Score: 787.5;Steps: 104.4
Score: 898.7;Steps: 183.9
Score: 514.6;Steps: 71.7
Score: 855.7;Steps: 114.5
Score: 1033.6;Steps: 139.0
Score: 856.6;Steps: 110.6
Score: 1115.9;Steps: 175.8
Score: 977.3;Steps: 128.0
Score: 1259.7;Steps: 166.7
Score: 991.5;Steps: 180.0
Score: 726.3;Steps: 89.2
Score: 800.9;Steps: 113.0
Score: 1092.5;Steps: 135.5
Score: 935.5;Steps: 219.4
Score: 956.3;Steps: 142.4
Score: 1115.2;Steps: 187.7
Score: 902.3;Steps: 128.8
Score: 1108.6;Steps: 195.6
Score: 1382.1;Steps: 208.2
Score: 1287.0;Steps: 199.2
Score: 1315.7;Steps: 205.9
Score: 1436.0;Steps: 344.4
Score: 1460.0;Steps: 218.0
Score: 1490.9;Steps: 206.3
Score: 1086.8;Steps: 133.9
Score: 1239.8;Steps: 146.4
Score: 1178.9;Steps: 250.8
Score: 1316.9;Steps: 175.8
Score: 1167.1;Steps: 462.0
Score: 971.5;Steps: 110.8
Score: 1454.2;Steps: 243.1
Score: 1562.0;Steps: 207.6
Score: 986.4;Steps: 134.4
Score: 1047.6;Steps: 115.1
Score: 1109.0;Steps: 274.1
Score: 987.2;Steps: 147.6
